path,sha256,bytes,lines,category,upstream_path,upstream_similarity,provisional_provenance,evidence,migration_disposition,disposition_reason,human_review_required,human_review_status,human_review_note
.gitattributes,1a1dbe176bc233b499d35a57db7513f2941c99ab9759f177830c9149be99005b,66,3,repository,.gitattributes,0.000000,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
.github/workflows/ci.yml,a4c03aac96e9c0965258205ff75f9fe1fa2e9c99cc6daf570b60e3e695b9e00c,665,35,repository,.github/workflows/ci.yml,0.034091,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
.github/workflows/package.yml,4e165f02ea8fb8ae5230bc95707d9c82013d878076505b960d24e2df1493f447,853,43,repository,,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
.github/workflows/release.yml,7b590e9b80af7ab65e4b1a4bbc6dc35d7289e949082c399996b3075725c02cc1,1098,47,repository,,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
.gitignore,bf538321c7a27826f8e77a75cacfeec5e472640d325ce2458c9ed37d18d627a5,411,31,repository,.gitignore,0.027397,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
AGENTS.md,c8432c76c8012bdb5c1cb5783d6e383957ff680280ca133ac5fc238bff4bac58,1260,45,repository,AGENTS.md,0.076923,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
BENCHMARK_GUIDE.md,f99da0bb78c147aa536d82ea419fb9c2e719671f4a75f910ef56cc15fdeb86b6,2581,74,repository,,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
CHANGELOG.md,effe9708a7e2aab65a93971b3fcc017628e602dcc7ce50052e00bc3dc3729fc9,667,23,repository,,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
CLAUDE.md,327e1a2afdc399b072524036dbba7993768e45b4dc7e209d0c8e4729919b22aa,1260,45,repository,,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
CODEOWNERS,f7d30dcb84568c949d06cce65b11425da5c87f20b86676e3bd617fbc29c77a47,95,4,repository,,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
CONTRIBUTING.md,04c8e7fa92b464edafa99fa0a92097767a8594f50117561b543a1c04bb53d7ba,2099,66,repository,,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
LICENSE,cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30,11358,203,repository,LICENSE,1.000000,derived,Text similarity 1.000 to LICENSE.,review,No migration decision has been made for this file.,true,pending,
Makefile,3339f241031b660cbe66f16888e694a5fdd26ca6e4311b7fbfba4324e2781b2b,1398,57,build,,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
README.md,72d8b5a8bd36e2d76245535f9975da170059802f8ac6feac98209d497057fcc9,6614,175,repository,README.md,0.136095,derived,Contains upstream marker(s): daal4py.,review,No migration decision has been made for this file.,true,pending,
benchmark_results/archive/.gitignore,240a3e0d37d2e86b614063f5347eb02d4f99ca6c254de6b82871ff8d95532a7d,14,3,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
benchmarks/.ipynb_checkpoints/bench_linear_regression-checkpoint.py,f35c8a1194fbc3d91bceee4b36ee5f50f95be8b37b777d8727c944c44b5356be,3602,103,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
benchmarks/__init__.py,8fd4adef5095db5a8e5e3e52375e09868262543cb6727d0d9327fbbe59a11be0,60,2,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
benchmarks/_common.py,d77d1cdad4482f95024d0e7d626b1f599e28c7cc85bda574bc78c070249f975f,3993,126,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
benchmarks/bench_dbscan.py,a5aaf42e655173c3fd60858104a9e7c9def8ac42d82465ca47b1268a1e9a4eee,7519,191,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
benchmarks/bench_elastic_net.py,701339378064f23826c3bb8f564642af795e178c3b29f2eca2551d744e5cb4f2,3947,116,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
benchmarks/bench_human_report.py,2eca99f823bd6a06479a6c3b3fa978cee2a6412dc8924936cff951bea9141fbf,13912,371,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
